,threads,files, per_requests,sequential_percent,identifiers,requests_bytes,inter_time,process_time,seed,generate_time,all_requests,thoughput,sjf
128,100,10,10,0,4,1048576,10000,10000,1,43929038,1000,22763,1
129,100,10,10,0,4,1048576,10000,10000,1,46270083,1000,21612,1
130,100,10,10,0,4,1048576,100000,10000,1,42719835,1000,23408,1
131,100,10,10,0,4,1048576,100000,10000,1,43430082,1000,23025,1
132,100,10,10,0,4,1048576,100000,10000,1,44551083,1000,22446,1
133,100,10,10,0,4,1048576,100000,10000,1,44255946,1000,22595,1
134,100,10,10,0,4,1048576,100000,10000,1,43911466,1000,22773,1
135,100,10,10,0,4,1048576,100000,10000,1,44805902,1000,22318,1
136,100,10,10,0,4,1048576,100000,10000,1,47075183,1000,21242,1
137,100,10,10,0,4,1048576,100000,10000,1,47105257,1000,21229,1
138,100,10,10,0,4,1048576,100000,10000,1,49072372,1000,20378,1
139,100,10,10,0,4,1048576,100000,10000,1,50023907,1000,19990,1
140,100,10,10,0,4,1048576,1000000,10000,1,41922231,1000,23853,1
141,100,10,10,0,4,1048576,1000000,10000,1,41080559,1000,24342,1
142,100,10,10,0,4,1048576,1000000,10000,1,42706980,1000,23415,1
143,100,10,10,0,4,1048576,1000000,10000,1,42156933,1000,23720,1
144,100,10,10,0,4,1048576,1000000,10000,1,43434784,1000,23023,1
145,100,10,10,0,4,1048576,1000000,10000,1,42671227,1000,23434,1
146,100,10,10,0,4,1048576,1000000,10000,1,42645024,1000,23449,1
147,100,10,10,0,4,1048576,1000000,10000,1,42258772,1000,23663,1
148,100,10,10,0,4,1048576,1000000,10000,1,43232797,1000,23130,1
149,100,10,10,0,4,1048576,1000000,10000,1,43898737,1000,22779,1
150,100,10,10,0,4,4194304,100,10000,1,43091585,1000,23206,1
151,100,10,10,0,4,4194304,100,10000,1,43523083,1000,22976,1
152,100,10,10,0,4,4194304,100,10000,1,43481717,1000,22998,1
153,100,10,10,0,4,4194304,100,10000,1,43549079,1000,22962,1
154,100,10,10,0,4,4194304,100,10000,1,43186831,1000,23155,1
155,100,10,10,0,4,4194304,100,10000,1,44171227,1000,22639,1
156,100,10,10,0,4,4194304,100,10000,1,43922968,1000,22767,1
157,100,10,10,0,4,4194304,100,10000,1,44426729,1000,22508,1
158,100,10,10,0,4,4194304,100,10000,1,44465172,1000,22489,1
159,100,10,10,0,4,4194304,100,10000,1,44489331,1000,22477,1
160,100,10,10,0,4,4194304,1000,10000,1,43349683,1000,23068,1
161,100,10,10,0,4,4194304,1000,10000,1,44158623,1000,22645,1
162,100,10,10,0,4,4194304,1000,10000,1,44419194,1000,22512,1
163,100,10,10,0,4,4194304,1000,10000,1,43973539,1000,22740,1
164,100,10,10,0,4,4194304,1000,10000,1,45085920,1000,22179,1
165,100,10,10,0,4,4194304,1000,10000,1,44578805,1000,22432,1
166,100,10,10,0,4,4194304,1000,10000,1,44788128,1000,22327,1
167,100,10,10,0,4,4194304,1000,10000,1,44152375,1000,22648,1
168,100,10,10,0,4,4194304,1000,10000,1,44503692,1000,22470,1
169,100,10,10,0,4,4194304,1000,10000,1,45954467,1000,21760,1
170,100,10,10,0,4,4194304,10000,10000,1,41809355,1000,23918,1
171,100,10,10,0,4,4194304,10000,10000,1,42179737,1000,23708,1
172,100,10,10,0,4,4194304,10000,10000,1,43654291,1000,22907,1
173,100,10,10,0,4,4194304,10000,10000,1,42768628,1000,23381,1
174,100,10,10,0,4,4194304,10000,10000,1,44611798,1000,22415,1
175,100,10,10,0,4,4194304,10000,10000,1,43782505,1000,22840,1
176,100,10,10,0,4,4194304,10000,10000,1,44514515,1000,22464,1
177,100,10,10,0,4,4194304,10000,10000,1,43511476,1000,22982,1
178,100,10,10,0,4,4194304,10000,10000,1,44240966,1000,22603,1
179,100,10,10,0,4,4194304,10000,10000,1,44192745,1000,22628,1
180,100,10,10,0,4,4194304,100000,10000,1,41585355,1000,24046,1
181,100,10,10,0,4,4194304,100000,10000,1,42627045,1000,23459,1
182,100,10,10,0,4,4194304,100000,10000,1,43686776,1000,22890,1
183,100,10,10,0,4,4194304,100000,10000,1,43805336,1000,22828,1
184,100,10,10,0,4,4194304,100000,10000,1,43591100,1000,22940,1
185,100,10,10,0,4,4194304,100000,10000,1,43257977,1000,23117,1
186,100,10,10,0,4,4194304,100000,10000,1,42914325,1000,23302,1
187,100,10,10,0,4,4194304,100000,10000,1,43364790,1000,23060,1
188,100,10,10,0,4,4194304,100000,10000,1,44320567,1000,22562,1
189,100,10,10,0,4,4194304,100000,10000,1,44537443,1000,22453,1
190,100,10,10,0,4,4194304,1000000,10000,1,42478112,1000,23541,1
191,100,10,10,0,4,4194304,1000000,10000,1,41927854,1000,23850,1
192,100,10,10,0,4,4194304,1000000,10000,1,42385299,1000,23593,1
193,100,10,10,0,4,4194304,1000000,10000,1,42797828,1000,23365,1
194,100,10,10,0,4,4194304,1000000,10000,1,42709854,1000,23413,1
195,100,10,10,0,4,4194304,1000000,10000,1,42389361,1000,23590,1
196,100,10,10,0,4,4194304,1000000,10000,1,42801394,1000,23363,1
197,100,10,10,0,4,4194304,1000000,10000,1,43165386,1000,23166,1
