,noop,aioli,mlf,sjf,to,toagg,twins,idxmax
527,3316.2727272727275,8987.727272727272,16671.545454545456,23962.363636363636,23576.18181818182,3720.181818181818,23291.81818181818,sjf
528,2974.7272727272725,9017.90909090909,16750.18181818182,24066.090909090908,23692.363636363636,3708.4545454545455,23827.636363636364,sjf
529,3432.909090909091,8672.181818181818,18595.545454545456,23575.727272727272,24091.545454545456,3713.7272727272725,24051.636363636364,to
530,3309.909090909091,9719.727272727272,15896.181818181818,23959.090909090908,23465.18181818182,4098.454545454545,23287.0,sjf
531,3186.909090909091,9608.727272727272,15952.636363636364,24012.18181818182,23388.0,4106.545454545455,23551.636363636364,sjf
532,3348.181818181818,9741.545454545454,15764.0,23822.18181818182,23375.909090909092,4056.181818181818,23229.636363636364,sjf
533,3402.090909090909,9517.454545454546,16087.90909090909,23947.727272727272,23840.727272727272,4062.3636363636365,23687.0,sjf
534,3189.6363636363635,9706.09090909091,18184.454545454544,23663.545454545456,24156.0,4155.727272727273,24012.18181818182,to
535,3186.181818181818,13894.818181818182,17564.363636363636,24008.909090909092,23429.636363636364,5575.0,23348.81818181818,sjf
536,3315.7272727272725,13809.09090909091,17430.81818181818,23895.454545454544,23634.81818181818,5501.545454545455,23410.727272727272,sjf
537,3077.4545454545455,13984.363636363636,17552.0,24110.272727272728,23491.0,5476.818181818182,23536.454545454544,sjf
538,3321.818181818182,13878.454545454546,17365.363636363636,24107.454545454544,23743.090909090908,5432.090909090909,23502.909090909092,sjf
539,3157.5454545454545,14081.727272727272,17408.81818181818,23763.727272727272,24201.727272727272,5787.727272727273,23953.727272727272,to
540,3319.090909090909,21652.454545454544,22341.0,24208.454545454544,23581.272727272728,10288.181818181818,23545.81818181818,sjf
541,3244.0,21764.81818181818,22144.909090909092,24204.454545454544,23538.545454545456,10000.545454545454,23494.0,sjf
542,3261.2727272727275,21520.454545454544,22410.81818181818,23977.363636363636,23575.454545454544,10410.727272727272,23436.272727272728,sjf
543,3186.3636363636365,21579.727272727272,22247.272727272728,24192.727272727272,23872.363636363636,10490.181818181818,23728.545454545456,sjf
544,3135.0,21291.909090909092,20702.0,24133.454545454544,24130.545454545456,10792.363636363636,23751.454545454544,sjf
545,3302.3636363636365,23211.727272727272,23607.363636363636,24296.0,23297.363636363636,16330.0,23397.0,sjf
546,3202.181818181818,23353.363636363636,23612.18181818182,24258.0,23385.727272727272,16435.272727272728,23379.454545454544,sjf
547,3328.4545454545455,23274.545454545456,23610.0,24332.090909090908,23573.454545454544,16263.545454545454,23491.545454545456,sjf
548,3334.818181818182,23318.363636363636,23697.636363636364,24301.0,23688.909090909092,16096.272727272728,23621.0,sjf
549,3497.2727272727275,22144.636363636364,22966.909090909092,24252.0,24171.272727272728,15128.0,23954.454545454544,sjf
550,3345.181818181818,11303.181818181818,16986.18181818182,24200.727272727272,23646.272727272728,4301.090909090909,23402.909090909092,sjf
551,3150.090909090909,11226.181818181818,17041.81818181818,23985.545454545456,23479.18181818182,4274.090909090909,23454.18181818182,sjf
552,3130.181818181818,11264.818181818182,17046.0,24109.909090909092,23424.636363636364,4253.181818181818,23385.454545454544,sjf
553,2981.7272727272725,11069.727272727272,17375.909090909092,24009.363636363636,23688.090909090908,4259.727272727273,23690.454545454544,sjf
554,3440.818181818182,10796.363636363636,18406.545454545456,23815.18181818182,24135.454545454544,4235.545454545455,24025.727272727272,to
555,3109.090909090909,11976.818181818182,16466.454545454544,24175.636363636364,23399.545454545456,4605.727272727273,23355.81818181818,sjf
556,3261.4545454545455,11834.818181818182,16751.545454545456,24043.18181818182,23630.81818181818,4593.272727272727,23463.909090909092,sjf
557,3293.5454545454545,12022.09090909091,16525.272727272728,24049.090909090908,23630.363636363636,4604.363636363636,23496.272727272728,sjf
558,2982.818181818182,11942.545454545454,16821.81818181818,23993.363636363636,23936.81818181818,4631.545454545455,23652.0,sjf
559,3219.090909090909,11907.363636363636,17978.909090909092,23751.454545454544,24149.545454545456,4641.454545454545,23962.363636363636,to
560,3346.909090909091,15981.181818181818,18630.909090909092,24082.909090909092,23499.81818181818,6148.454545454545,23407.454545454544,sjf
561,3381.4545454545455,15894.09090909091,18722.545454545456,23812.18181818182,23423.363636363636,6111.727272727273,23262.909090909092,sjf
562,3149.4545454545455,16006.545454545454,18800.454545454544,23905.81818181818,23674.0,6088.545454545455,23142.636363636364,sjf
563,3166.7272727272725,15898.181818181818,18231.272727272728,24256.909090909092,23921.727272727272,6124.727272727273,23366.727272727272,sjf
564,3468.5454545454545,16113.181818181818,18102.81818181818,23920.727272727272,24217.909090909092,6586.363636363636,23962.363636363636,to
565,3261.0,22009.636363636364,22667.18181818182,24148.090909090908,23255.18181818182,11001.09090909091,23366.272727272728,sjf
566,3382.5454545454545,22002.18181818182,22514.090909090908,24115.81818181818,23464.636363636364,11129.0,23596.909090909092,sjf
567,3158.5454545454545,22033.18181818182,22537.090909090908,24245.454545454544,23458.0,10899.181818181818,23359.454545454544,sjf
568,3323.5454545454545,22037.727272727272,22547.727272727272,24155.0,23766.0,11012.181818181818,23715.727272727272,sjf
569,3220.909090909091,21432.18181818182,21326.909090909092,24158.727272727272,24025.090909090908,11390.818181818182,23980.727272727272,sjf
570,3173.4545454545455,23412.636363636364,23685.909090909092,24302.363636363636,23447.272727272728,16351.09090909091,23331.454545454544,sjf
571,3236.2727272727275,23325.090909090908,23622.18181818182,24272.18181818182,23623.0,16298.90909090909,23412.454545454544,sjf
572,2965.7272727272725,23359.363636363636,23484.454545454544,24324.363636363636,23559.363636363636,16476.454545454544,23164.909090909092,sjf
573,3243.2727272727275,23355.363636363636,23671.272727272728,24316.0,23777.090909090908,16265.363636363636,23635.272727272728,sjf
574,3405.090909090909,22453.090909090908,23269.090909090908,24332.727272727272,24106.18181818182,15237.272727272728,24024.545454545456,sjf
575,3205.090909090909,14178.09090909091,17967.81818181818,23995.545454545456,23240.363636363636,5056.0,23599.0,sjf
576,3245.090909090909,14073.727272727272,17998.727272727272,24030.18181818182,23502.363636363636,5012.909090909091,23314.454545454544,sjf
577,3437.6363636363635,13886.727272727272,17993.090909090908,24020.727272727272,23625.81818181818,5058.0,23490.272727272728,sjf
578,3422.818181818182,13989.545454545454,18430.0,24273.272727272728,23852.090909090908,5033.0,23750.454545454544,sjf
579,3374.3636363636365,13613.363636363636,18835.18181818182,23840.454545454544,24049.0,5069.090909090909,23968.909090909092,to
